Designator,Mid X,Mid Y,Layer,Rotation
C3,63.5mm,-48.5mm,Top,0
R51,31mm,-38mm,Top,0
J5,36.75mm,-69.1mm,Top,0
C31,44mm,-20mm,Top,0
D1,21.43mm,-15mm,Top,90
C7,66.5mm,-58.5mm,Top,0
C18,76mm,-50mm,Top,0
J1,90.25mm,-114mm,Top,0
Q30,30mm,-43mm,Top,180
Q17,50mm,-37.5mm,Top,180
L2,86.5mm,-57.5mm,Top,0
D25,30mm,-33mm,Top,0
R79,56mm,-55mm,Top,0
SW1,44.45mm,-30.25mm,Top,0
Q28,25mm,-43mm,Top,180
C16,92.5mm,-53.5mm,Top,0
D32,50mm,-20mm,Top,0
D28,79.5mm,-46.5mm,Top,0
SW5,6mm,-116.4mm,Top,0
C5,71mm,-54mm,Top,0
D5,15mm,-44.2mm,Top,90
R52,69mm,-38mm,Top,0
R53,35mm,-38mm,Top,0
C23,44mm,-56mm,Top,0
Q16,40mm,-37.5mm,Top,180
D26,70mm,-33mm,Top,0
D23,21.43mm,-19.6mm,Top,0
D6,85mm,-44.2mm,Top,270
R54,65mm,-38mm,Top,0
F1,95.5mm,-64.5mm,Top,0
R62,44mm,-37.5mm,Top,0
D31,38mm,-110mm,Top,0
J6,63.25mm,-70mm,Top,180
D4,82.13mm,-27.77mm,Top,315
R49,27mm,-38mm,Top,0
R9,44mm,-47mm,Top,0
C9,40mm,-60mm,Top,0
L1,66mm,-53.5mm,Top,0
SW2,53.25mm,-30.25mm,Top,0
D30,26mm,-110mm,Top,0
Q31,70mm,-43mm,Top,180
Q6,15mm,-36.6mm,Top,90
Q4,12.5mm,-22.4mm,Top,45
R7,25mm,-50mm,Top,0
Q5,87.5mm,-22.4mm,Top,315
U3,50mm,-106.7mm,Top,180
D2,78.57mm,-15mm,Top,90
BZ1,76mm,-62mm,Top,0
C30,12.5mm,-57.5mm,Top,180
Q33,65mm,-43mm,Top,180
J7,70mm,-115.675mm,Top,0
R83,38mm,-106mm,Top,0
D33,32mm,-110mm,Top,0
Q32,35mm,-43mm,Top,180
Q1,92.5mm,-48mm,Top,180
C20,44mm,-63mm,Top,0
R65,44mm,-52mm,Top,0
R78,56mm,-64mm,Top,0
R77,56mm,-61mm,Top,0
C4,55mm,-49mm,Top,0
SW6,15.5mm,-116.4mm,Top,0
Q7,85mm,-36.6mm,Top,270
R11,34mm,-60mm,Top,0
SW3,63.25mm,-30.25mm,Top,0
R82,26mm,-106mm,Top,0
C24,44mm,-59.5mm,Top,0
Q18,40mm,-42mm,Top,180
R63,54mm,-37.5mm,Top,0
R50,73mm,-38mm,Top,0
R55,58mm,-74mm,Top,0
Q2,30.95mm,-15mm,Top,90
C15,85mm,-50mm,Top,0
R64,44mm,-42mm,Top,0
Q3,69.05mm,-15mm,Top,90
C17,92.5mm,-58.5mm,Top,0
SW4,67.25mm,-104.25mm,Top,0
C1,32mm,-54mm,Top,0
U7,81mm,-54mm,Top,180
R6,21mm,-50mm,Top,0
Q29,75mm,-43mm,Top,180
D3,17.87mm,-27.77mm,Top,45
R84,32mm,-106mm,Top,0
D24,78.57mm,-19.6mm,Top,0
R8,40mm,-47mm,Top,0
C2,37mm,-54mm,Top,0
J10,89.28mm,-104.8mm,Top,0
U1,61mm,-54mm,Top,180
R80,56mm,-58mm,Top,0
D27,20.5mm,-46.5mm,Top,0
R10,76mm,-104mm,Bottom,0
R14,34mm,-23mm,Bottom,0
R19,78mm,-26mm,Bottom,0
C6,24mm,-63mm,Bottom,0
R16,66mm,-23mm,Bottom,0
R3,20mm,-63mm,Bottom,0
U8,50mm,-59mm,Bottom,0
R13,30mm,-23mm,Bottom,0
R58,56mm,-100mm,Bottom,0
R73,95mm,-54mm,Bottom,0
R17,22mm,-26mm,Bottom,0
C12,42mm,-86mm,Bottom,0
R15,70mm,-23mm,Bottom,0
U2,50mm,-72mm,Bottom,270
U6,61.5mm,-112mm,Bottom,180
R1,92.5mm,-48mm,Bottom,0
R24,78mm,-42mm,Bottom,0
C14,60mm,-60mm,Bottom,0
R20,74mm,-26mm,Bottom,0
R70,76mm,-47mm,Bottom,0
Q34,72mm,-66mm,Bottom,0
R21,22mm,-39mm,Bottom,0
R71,80mm,-47mm,Bottom,0
R56,60mm,-108.5mm,Bottom,0
C11,50mm,-81.5mm,Bottom,0
R22,22mm,-42mm,Bottom,0
C8,46mm,-103mm,Bottom,90
R81,66mm,-64mm,Bottom,270
R2,16mm,-63mm,Bottom,0
R23,78mm,-39mm,Bottom,0
R57,44mm,-100mm,Bottom,0
R69,66mm,-47mm,Bottom,0
R18,26mm,-26mm,Bottom,0
C10,54mm,-103mm,Bottom,0
R74,95mm,-58mm,Bottom,0
D29,84mm,-64mm,Bottom,90
R67,43mm,-108mm,Bottom,0
R12,64.5mm,-108.5mm,Bottom,0
R68,47mm,-108mm,Bottom,0
