Designator,Mid X,Mid Y,Rotation,Layer
BZ1,76.0,-62.0,0.0,top
C1,32.0,-54.0,0.0,top
C10,54.0,-103.0,0.0,bottom
C11,50.0,-72.0,0.0,bottom
C12,42.0,-86.0,0.0,bottom
C14,60.0,-60.0,0.0,bottom
C15,85.0,-50.0,0.0,top
C16,92.5,-53.5,0.0,top
C17,92.5,-58.5,0.0,top
C18,76.0,-50.0,0.0,top
C2,37.0,-54.0,0.0,top
C20,44.0,-63.0,0.0,top
C23,44.0,-56.0,0.0,top
C24,44.0,-59.5,0.0,top
C3,63.5,-48.5,0.0,top
C30,12.5,-57.5,180.0,top
C31,44.0,-20.0,0.0,top
C4,55.0,-49.0,0.0,top
C5,71.0,-54.0,0.0,top
C6,24.0,-63.0,0.0,bottom
C7,66.5,-58.5,0.0,top
C8,46.0,-103.0,90.0,bottom
C9,40.0,-60.0,0.0,top
D1,21.43,-15.0,90.0,top
D2,78.57,-15.0,90.0,top
D23,21.43,-19.6,0.0,top
D24,78.57,-19.6,0.0,top
D25,30.0,-33.0,0.0,top
D26,70.0,-33.0,0.0,top
D27,20.5,-46.5,0.0,top
D28,79.5,-46.5,0.0,top
D29,84.0,-64.0,90.0,bottom
D3,17.870025612106915,-27.769974387893086,45.0,top
D30,26.0,-110.0,0.0,top
D31,38.0,-110.0,0.0,top
D32,50.0,-20.0,0.0,top
D33,32.0,-110.0,0.0,top
D4,82.13002561210692,-27.770025612106917,315.0,top
D5,15.0,-44.2,90.0,top
D6,85.0,-44.2,270.0,top
F1,95.5,-64.5,0.0,top
J1,90.25,-114.0,0.0,top
J10,89.28,-104.8,0.0,top
J5,36.75,-69.1,0.0,top
J6,63.25,-70.0,180.0,top
J7,70.0,-115.675,0.0,top
L1,66.0,-53.5,0.0,top
L2,86.5,-57.5,0.0,top
Q1,92.5,-48.0,180.0,top
Q16,40.0,-37.5,180.0,top
Q17,50.0,-37.5,180.0,top
Q18,40.0,-42.0,180.0,top
Q2,30.95,-15.0,90.0,top
Q28,25.0,-43.0,180.0,top
Q29,75.0,-43.0,180.0,top
Q3,69.05,-15.0,90.0,top
Q30,30.0,-43.0,180.0,top
Q31,70.0,-43.0,180.0,top
Q32,35.0,-43.0,180.0,top
Q33,65.0,-43.0,180.0,top
Q34,72.0,-66.0,0.0,bottom
Q4,12.500025612106915,-22.399974387893085,45.0,top
Q5,87.50002561210692,-22.400025612106916,315.0,top
Q6,15.0,-36.6,90.0,top
Q7,85.0,-36.6,270.0,top
R1,92.5,-48.0,0.0,bottom
R10,76.0,-104.0,0.0,bottom
R11,34.0,-60.0,0.0,top
R12,64.5,-108.5,0.0,bottom
R13,30.0,-23.0,0.0,bottom
R14,34.0,-23.0,0.0,bottom
R15,70.0,-23.0,0.0,bottom
R16,66.0,-23.0,0.0,bottom
R17,22.0,-26.0,0.0,bottom
R18,26.0,-26.0,0.0,bottom
R19,78.0,-26.0,0.0,bottom
R2,16.0,-63.0,0.0,bottom
R20,74.0,-26.0,0.0,bottom
R21,22.0,-39.0,0.0,bottom
R22,22.0,-42.0,0.0,bottom
R23,78.0,-39.0,0.0,bottom
R24,78.0,-42.0,0.0,bottom
R3,20.0,-63.0,0.0,bottom
R49,27.0,-38.0,0.0,top
R50,73.0,-38.0,0.0,top
R51,31.0,-38.0,0.0,top
R52,69.0,-38.0,0.0,top
R53,35.0,-38.0,0.0,top
R54,65.0,-38.0,0.0,top
R55,58.0,-74.0,0.0,top
R56,60.0,-108.5,0.0,bottom
R57,44.0,-100.0,0.0,bottom
R58,56.0,-100.0,0.0,bottom
R6,21.0,-50.0,0.0,top
R62,44.0,-37.5,0.0,top
R63,54.0,-37.5,0.0,top
R64,44.0,-42.0,0.0,top
R65,44.0,-52.0,0.0,top
R67,43.0,-108.0,0.0,bottom
R68,47.0,-108.0,0.0,bottom
R69,66.0,-47.0,0.0,bottom
R7,25.0,-50.0,0.0,top
R70,76.0,-47.0,0.0,bottom
R71,80.0,-47.0,0.0,bottom
R73,95.0,-54.0,0.0,bottom
R74,95.0,-58.0,0.0,bottom
R77,56.0,-61.0,0.0,top
R78,56.0,-64.0,0.0,top
R79,56.0,-55.0,0.0,top
R8,40.0,-47.0,0.0,top
R80,56.0,-58.0,0.0,top
R81,66.0,-64.0,270.0,bottom
R82,26.0,-106.0,0.0,top
R83,38.0,-106.0,0.0,top
R84,32.0,-106.0,0.0,top
R9,44.0,-47.0,0.0,top
SW1,43.25,-30.25,0.0,top
SW2,67.25,-104.25,0.0,top
SW3,53.25,-30.25,0.0,top
SW4,63.25,-30.25,0.0,top
SW5,6.0,-116.4,0.0,top
SW6,15.5,-116.4,0.0,top
U1,61.0,-54.0,180.0,top
U2,50.0,-72.0,270.0,top
U3,50.0,-106.7,180.0,top
U6,61.5,-112.0,180.0,bottom
U7,81.0,-54.0,180.0,top
U8,50.0,-59.0,0.0,top
