Item Description,Manufacturer Part Number,Name,Package,Designator,Quantity
"CMT-8504-100-SMT (magnetic transducer 8.5mm, 15R coil, 4kHz; pads 3/4 are mechanical dummies)",CMT-8504-100-SMT-TR,CMT-8504-100-SMT,MagneticBuzzer_CUI_CMT-8504-100-SMT,BZ1,1
10uF/25V,CL32B106KBJNNNE,10uF/25V,C_1210_3225Metric,"C1,C4,C11,C18",4
100nF,CL21B104KBCNNNC,100nF,C_0805_2012Metric,"C2,C3,C6,C8,C12,C14,C15,C20,C23,C31",10
22uF,CL21A226KPCLRNC,22uF,C_0805_2012Metric,"C5,C7",2
1uF,CL21B105KAFNNNE,1uF,C_0805_2012Metric,C9,1
10uF,CL21A106KPFNNNE,10uF,C_0805_2012Metric,"C10,C24",2
22uF/25V,CL32A226KAJNNNE,22uF/25V,C_1210_3225Metric,"C16,C17",2
220uF/16V,EEE-FT1C221AP,220uF/16V,CP_Elec_6.3x7.7,C30,1
IR333-A (Everlight 5mm 940nm 20deg; LD271 base symbol; TSAL6400 is lifecycle-Obsolete at Lion),IR333-A,IR333-A,LED_D5.0mm_IRGrey,"D1,D2,D3,D4,D5,D6",6
"Indicator LED 0603 super-red AlInGaP, high-eff bin (e.g. APT1608SURCK)",APT1608SURCK,"Indicator LED 0603 super-red AlInGaP, hi",LED_0603_1608Metric,"D23,D24,D25,D26,D27,D28,D30,D31,D33",9
1N4148W (flyback clamp across the buzzer coil),1N4148W-7-F,1N4148W,D_SOD-123,D29,1
WS2812B addressable RGB 5050 (JLC good-stock),XL-5050RGBC-WS2812B,WS2812B addressable RGB 5050,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,D32,1
2.6A/16V PPTC,MINISMDC260F/16-2,2.6A/16V PPTC,Fuse_1812_4532Metric,F1,1
BATT_IN_2S,B2B-XH-A,BATT_IN_2S,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,J1,1
MOTOR_A_N20_ENCODER,B6B-ZR(LF)(SN),MOTOR_A_N20_ENCODER,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical,"J5,J6",2
USB-C rear (GCT USB4105; VBUS unused -- battery powers the board),USB4105-GF-A,USB-C rear,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,J7,1
BATT_IN_XT60 (parallel option -- ONE PACK ONLY),XT60-M,BATT_IN_XT60,AMASS_XT60-M_1x02_P7.20mm_Vertical,J10,1
4.7uH,SRP4020TA-4R7M,4.7uH,L_Bourns_SRP4020TA,"L1,L2",2
"Q_PMOS reverse guard (DMP3098L-7: Vgs +/-20V, 2S-safe)",DMP3098L-7,Q_PMOS reverse guard,SOT-23,Q1,1
PT334-6B (5mm filtered PT; LONG LEAD = EMITTER; SFH309 base symbol so ERC checks pins),PT334-6B,PT334-6B,LED_D5.0mm_IRBlack,"Q2,Q3,Q4,Q5,Q6,Q7",6
BSS138 (real part; Q_NMOS_GSD base symbol used so ERC checks pins),BSS138LT1G,BSS138,SOT-23,"Q16,Q17,Q18",3
BSS84 (PMOS indicator driver; Q_PMOS base symbol),BSS84LT1G,BSS84,SOT-23,"Q28,Q29,Q30,Q31,Q32,Q33",6
MMBT2222A (buzzer low-side driver; Q_NPN_BEC base symbol so ERC checks pins),MMBT2222A-7-F,MMBT2222A,SOT-23,Q34,1
100k,RC0805FR-07100KL,100k,R_0805_2012Metric,"R1,R2,R62,R63,R64,R69,R73",7
39k,RC0805FR-0739KL,39k,R_0805_2012Metric,R3,1
10k,WR08X1002FTL,10k,R_0805_2012Metric,"R6,R7,R8,R9,R10,R11,R55,R65,R67,R79,R80",11
5.1k,RC0805FR-075K1L,5.1k,R_0805_2012Metric,"R12,R56",2
47k,RC0805FR-0747KL,47k,R_0805_2012Metric,"R13,R15,R17,R19,R21,R23",6
33,RC0805FR-0733RL,33,R_0805_2012Metric,"R14,R16,R18,R20,R22,R24",6
1k,RC0805FR-071KL,1k,R_0805_2012Metric,"R49,R50,R51,R52,R53,R54,R57,R58,R82,R83,R84",11
15k,RC0805FR-0715KL,15k,R_0805_2012Metric,R68,1
220k,RC0805FR-07220KL,220k,R_0805_2012Metric,R70,1
110k,RC0805FR-07110KL,110k,R_0805_2012Metric,R71,1
11k,RC0805FR-0711KL,11k,R_0805_2012Metric,R74,1
4.7k,RC0805FR-074K7L,4.7k,R_0805_2012Metric,"R77,R78",2
220,RC0805FR-07220RL,220,R_0805_2012Metric,R81,1
Tactile pushbutton switch,KMR221NGLFS,Tactile pushbutton switch,SW_Push_1P1T_NO_CK_KMR2,"SW1,SW2,SW3,SW4",4
PWR ALL (PCM12SMTR slide; slide-to-GND = OFF),PCM12SMTR,PWR ALL,SW_SPDT_PCM12,"SW5,SW6",2
AP63203WU-7 (fixed 3.3V 2A buck; AP63200WU base symbol so ERC checks pins),AP63203WU-7,AP63203WU-7,TSOT-23-6,U1,1
TB6612FNG,"TB6612FNG,C,8,EL",TB6612FNG,SSOP-24_5.3x8.2mm_P0.65mm,U2,1
ESP32-S3-WROOM-1-N8R2 (quad PSRAM: IO35-37 usable; octal -R8 would lose them),ESP32-S3-WROOM-1-N8R2,ESP32-S3-WROOM-1-N8R2,ESP32-S3-WROOM-1,U3,1
USBLC6-2SC6 (SOT-23-6; 2P6 base symbol so ERC checks pins),USBLC6-2SC6,USBLC6-2SC6,SOT-23-6,U6,1
TPS54302DDCR (6.0V/3A motor buck; FB=100k/11k),TPS54302DDCR,TPS54302DDCR,SOT-23-6,U7,1
BNO055 (9-axis IMU + fusion; 3.3V native; I2C 0x28),BNO055,BNO055,BNO055,U8,1
