Designator,X Data,Y Data,Layer,Rotation
C1,32.0000,54.0000,Top,0.0000
R17,26.0000,30.0000,Top,0.0000
C11,44.0000,65.0000,Top,0.0000
C9,40.0000,60.0000,Top,0.0000
R7,25.0000,50.0000,Top,0.0000
BZ1,76.0000,62.0000,Top,0.0000
C2,37.0000,54.0000,Top,0.0000
SW6,15.5000,116.4000,Top,0.0000
R23,78.0000,39.0000,Top,0.0000
C30,12.5000,57.5000,Top,0.0000
D29,84.0000,70.0000,Top,90.0000
Q4,12.5000,22.4000,Top,45.0000
Q35,6.0000,48.0000,Top,0.0000
R62,44.0000,37.5000,Top,0.0000
R24,78.0000,42.0000,Top,0.0000
R10,76.0000,104.0000,Top,0.0000
D4,82.1300,27.7700,Top,315.0000
C31,44.0000,20.0000,Top,0.0000
U2,50.0000,72.0000,Top,0.0000
R9,44.0000,47.0000,Top,0.0000
R68,20.0000,100.0000,Top,0.0000
R80,56.0000,64.0000,Top,0.0000
C10,51.7000,89.0000,Top,0.0000
C14,60.0000,60.0000,Top,0.0000
R84,32.0000,106.0000,Top,0.0000
D2,78.5700,15.0000,Top,90.0000
C5,71.0000,54.0000,Top,0.0000
R57,47.5000,84.0000,Top,90.0000
R63,54.0000,37.5000,Top,0.0000
C4,55.0000,49.0000,Top,0.0000
R20,70.0000,30.0000,Top,0.0000
L1,66.0000,53.5000,Top,0.0000
SW2,50.0000,28.0000,Top,0.0000
R55,58.0000,74.0000,Top,0.0000
Q5,87.5000,22.4000,Top,315.0000
R3,20.0000,63.0000,Top,0.0000
R16,66.0000,23.0000,Top,0.0000
U3,50.0000,106.7000,Top,180.0000
D5,15.0000,44.2000,Top,90.0000
U8,50.0000,59.0000,Top,0.0000
D1,21.4300,15.0000,Top,90.0000
Q3,69.0500,15.0000,Top,90.0000
R22,22.0000,42.0000,Top,0.0000
J1,90.2500,114.0000,Top,0.0000
R67,16.0000,100.0000,Top,0.0000
C3,63.5000,48.5000,Top,0.0000
Q2,30.9500,15.0000,Top,90.0000
R1,96.0000,44.0000,Top,0.0000
R15,70.0000,23.0000,Top,0.0000
R83,38.0000,106.0000,Top,0.0000
R2,16.0000,63.0000,Top,0.0000
Q17,50.0000,37.5000,Top,0.0000
R64,44.0000,42.0000,Top,0.0000
J5,36.7500,69.1000,Top,0.0000
D30,26.0000,110.0000,Top,0.0000
U1,61.0000,54.0000,Top,0.0000
Q16,40.0000,37.5000,Top,0.0000
R11,34.0000,60.0000,Top,0.0000
Q7,85.0000,36.6000,Top,270.0000
D32,50.0000,20.0000,Top,0.0000
C12,28.0000,44.0000,Top,0.0000
J6,63.2500,70.0000,Top,180.0000
SW5,6.0000,116.4000,Top,0.0000
R58,52.5000,84.0000,Top,90.0000
Q18,40.0000,42.0000,Top,0.0000
R8,40.0000,47.0000,Top,0.0000
R85,9.5000,44.0000,Top,0.0000
R18,30.0000,30.0000,Top,0.0000
SW1,40.0000,28.0000,Top,0.0000
R79,56.0000,61.0000,Top,0.0000
SW4,64.0000,102.0000,Top,0.0000
Q1,92.5000,48.0000,Top,0.0000
R81,64.0000,65.2000,Top,270.0000
Q6,15.0000,36.6000,Top,90.0000
R13,30.0000,23.0000,Top,0.0000
D3,17.8700,27.7700,Top,45.0000
R12,67.0000,109.0000,Top,0.0000
R69,68.0000,44.0000,Top,0.0000
C32,44.0000,56.0000,Top,0.0000
D33,32.0000,110.0000,Top,0.0000
R21,22.0000,39.0000,Top,0.0000
C8,47.6000,89.0000,Top,90.0000
R19,74.0000,30.0000,Top,0.0000
D31,38.0000,110.0000,Top,0.0000
J10,89.2800,104.8000,Top,0.0000
R6,21.0000,50.0000,Top,0.0000
R82,26.0000,106.0000,Top,0.0000
J7,70.0000,115.6750,Top,0.0000
R14,34.0000,23.0000,Top,0.0000
D6,85.0000,44.2000,Top,270.0000
R65,44.0000,52.0000,Top,0.0000
R56,63.0000,109.0000,Top,0.0000
F1,95.5000,64.5000,Top,0.0000
C6,24.0000,63.0000,Top,0.0000
Q34,72.0000,70.0000,Top,180.0000
C33,44.0000,59.5000,Top,0.0000
