Designator,X Data,Y Data,Layer,Rotation
C1,32mm,54mm,Top,0
R17,26mm,30mm,Top,0
C11,44mm,65mm,Top,0
C9,40mm,60mm,Top,0
R7,25mm,50mm,Top,0
BZ1,76mm,62mm,Top,0
C2,37mm,54mm,Top,0
SW6,15.5mm,116.4mm,Top,0
R23,78mm,39mm,Top,0
C30,12.5mm,57.5mm,Top,0
D29,84mm,70mm,Top,90
Q4,12.5mm,22.4mm,Top,45
Q35,6mm,48mm,Top,0
R62,44mm,37.5mm,Top,0
R24,78mm,42mm,Top,0
R10,76mm,104mm,Top,0
D4,82.13mm,27.77mm,Top,315
C31,44mm,20mm,Top,0
U2,50mm,72mm,Top,0
R9,44mm,47mm,Top,0
R68,20mm,100mm,Top,0
R80,56mm,64mm,Top,0
C10,51.7mm,89mm,Top,0
C14,60mm,60mm,Top,0
R84,32mm,106mm,Top,0
D2,78.57mm,15mm,Top,90
C5,71mm,54mm,Top,0
R57,47.5mm,84mm,Top,90
R63,54mm,37.5mm,Top,0
C4,55mm,49mm,Top,0
R20,70mm,30mm,Top,0
L1,66mm,53.5mm,Top,0
SW2,50mm,28mm,Top,0
R55,58mm,74mm,Top,0
Q5,87.5mm,22.4mm,Top,315
R3,20mm,63mm,Top,0
R16,66mm,23mm,Top,0
U3,50mm,106.7mm,Top,180
D5,15mm,44.2mm,Top,90
U8,50mm,59mm,Top,0
D1,21.43mm,15mm,Top,90
Q3,69.05mm,15mm,Top,90
R22,22mm,42mm,Top,0
J1,90.25mm,114mm,Top,0
R67,16mm,100mm,Top,0
C3,63.5mm,48.5mm,Top,0
Q2,30.95mm,15mm,Top,90
R1,96mm,44mm,Top,0
R15,70mm,23mm,Top,0
R83,38mm,106mm,Top,0
R2,16mm,63mm,Top,0
Q17,50mm,37.5mm,Top,0
R64,44mm,42mm,Top,0
J5,36.75mm,69.1mm,Top,0
D30,26mm,110mm,Top,0
U1,61mm,54mm,Top,0
Q16,40mm,37.5mm,Top,0
R11,34mm,60mm,Top,0
Q7,85mm,36.6mm,Top,270
D32,50mm,20mm,Top,0
C12,28mm,44mm,Top,0
J6,63.25mm,70mm,Top,180
SW5,6mm,116.4mm,Top,0
R58,52.5mm,84mm,Top,90
Q18,40mm,42mm,Top,0
R8,40mm,47mm,Top,0
R85,9.5mm,44mm,Top,0
R18,30mm,30mm,Top,0
SW1,40mm,28mm,Top,0
R79,56mm,61mm,Top,0
SW4,64mm,102mm,Top,0
Q1,92.5mm,48mm,Top,0
R81,64mm,65.2mm,Top,270
Q6,15mm,36.6mm,Top,90
R13,30mm,23mm,Top,0
D3,17.87mm,27.77mm,Top,45
R12,67mm,109mm,Top,0
R69,68mm,44mm,Top,0
C32,44mm,56mm,Top,0
D33,32mm,110mm,Top,0
R21,22mm,39mm,Top,0
C8,47.6mm,89mm,Top,90
R19,74mm,30mm,Top,0
D31,38mm,110mm,Top,0
J10,89.28mm,104.8mm,Top,0
R6,21mm,50mm,Top,0
R82,26mm,106mm,Top,0
J7,70mm,115.675mm,Top,0
R14,34mm,23mm,Top,0
D6,85mm,44.2mm,Top,270
R65,44mm,52mm,Top,0
R56,63mm,109mm,Top,0
F1,95.5mm,64.5mm,Top,0
C6,24mm,63mm,Top,0
Q34,72mm,70mm,Top,180
C33,44mm,59.5mm,Top,0
