Ref,PosX,PosY,Rot,Side
U1,58.5000,-54.0000,180.0000,Top
U2,50.0000,-63.5000,270.0000,Top
R15,70.0000,-23.0000,0.0000,Top
R64,44.0000,-42.0000,0.0000,Top
R63,59.0000,-29.5000,180.0000,Top
R69,68.0000,-45.0000,0.0000,Top
SW6,6.0000,-116.4000,0.0000,Top
J1,86.9300,-104.8000,0.0000,Top
Q6,15.0000,-36.6000,90.0000,Top
C10,67.0000,-103.0000,180.0000,Top
R74,72.0000,-35.5000,180.0000,Top
Q1,87.5000,-56.0000,180.0000,Top
R55,44.0000,-54.0000,0.0000,Top
J6,63.2500,-70.0000,180.0000,Top
C2,37.0000,-54.0000,0.0000,Top
R73,68.0000,-41.0000,0.0000,Top
D1,21.4300,-15.0000,90.0000,Top
C3,62.0000,-48.5000,0.0000,Top
D33,32.0000,-107.0000,0.0000,Top
R16,76.0000,-23.0000,0.0000,Top
Q7,85.0000,-36.6000,270.0000,Top
C18,69.0000,-48.5000,0.0000,Top
C17,50.0000,-44.0000,0.0000,Top
J5,36.7500,-69.1000,0.0000,Top
R71,62.0000,-41.0000,0.0000,Top
R62,44.0000,-37.5000,0.0000,Top
D4,82.1300,-27.7700,315.0000,Top
R85,76.0000,-45.0000,0.0000,Top
R23,78.0000,-37.0000,0.0000,Top
C12,28.0000,-44.0000,0.0000,Top
L1,66.0000,-53.5000,0.0000,Top
R21,22.0000,-39.0000,0.0000,Top
R17,26.0000,-30.0000,0.0000,Top
C8,67.0000,-109.0000,180.0000,Top
R18,32.0000,-30.0000,0.0000,Top
L2,87.0000,-51.0000,90.0000,Top
BZ1,76.0000,-62.0000,0.0000,Top
Q4,12.5000,-22.4000,45.0000,Top
R14,26.5000,-22.0000,180.0000,Top
C4,51.0000,-54.0000,0.0000,Top
D3,17.8700,-27.7700,45.0000,Top
Q34,84.9500,-61.5000,270.0000,Top
D2,78.5700,-15.0000,90.0000,Top
Q5,87.5000,-22.4000,315.0000,Top
D29,68.0000,-61.5000,270.0000,Top
R9,44.0000,-47.0000,0.0000,Top
Q18,31.5000,-37.5000,270.0000,Top
R19,74.0000,-30.0000,0.0000,Top
R13,32.0000,-24.5000,0.0000,Top
Q2,30.9500,-15.0000,90.0000,Top
C1,23.0000,-60.5000,0.0000,Top
R70,56.0000,-41.0000,0.0000,Top
C11,38.0000,-59.0000,0.0000,Top
R82,26.0000,-102.0000,0.0000,Top
U3,50.0000,-109.5225,270.0000,Top
R24,76.0000,-41.0000,0.0000,Top
Q3,69.0500,-15.0000,90.0000,Top
R8,36.5000,-47.0000,0.0000,Top
R84,32.0000,-102.0000,0.0000,Top
R81,88.0000,-65.0000,0.0000,Top
F1,93.0000,-61.5000,90.0000,Top
C16,80.5000,-49.5000,0.0000,Top
Q17,50.0000,-37.5000,180.0000,Top
C14,60.0000,-60.0000,0.0000,Top
D5,15.0000,-44.2000,90.0000,Top
R1,94.5000,-55.5000,0.0000,Top
R20,67.0000,-30.0000,0.0000,Top
SW7,15.5000,-116.4000,0.0000,Top
C15,75.5000,-48.5000,0.0000,Top
D6,85.0000,-44.2000,270.0000,Top
C5,72.5000,-54.0000,0.0000,Top
R7,28.0000,-50.0000,0.0000,Top
SW5,73.0000,-116.4000,0.0000,Top
R22,22.0000,-44.0000,0.0000,Top
U7,81.0000,-54.0000,180.0000,Top
C30,12.5000,-57.5000,180.0000,Top
SW2,32.0000,-113.0000,0.0000,Top
R10,19.5000,-107.0000,270.0000,Top
D30,26.0000,-107.0000,0.0000,Top
J10,86.6000,-114.0000,0.0000,Top
Q16,37.0000,-37.5000,270.0000,Top
SW1,26.0000,-113.0000,0.0000,Top
R6,21.0000,-50.0000,0.0000,Top
