Designator,X Data,Y Data,Layer,Rotation
U1,58.5000,54.0000,Top,0.0000
U2,50.0000,63.5000,Top,0.0000
R15,70.0000,23.0000,Top,0.0000
R64,44.0000,42.0000,Top,0.0000
R63,59.0000,29.5000,Top,180.0000
R69,68.0000,45.0000,Top,0.0000
SW6,6.0000,116.4000,Top,0.0000
J1,86.9300,104.8000,Top,0.0000
Q6,15.0000,36.6000,Top,90.0000
C10,67.0000,103.0000,Top,180.0000
R74,72.0000,35.5000,Top,180.0000
Q1,87.5000,56.0000,Top,0.0000
R55,44.0000,54.0000,Top,0.0000
J6,63.2500,70.0000,Top,180.0000
C2,37.0000,54.0000,Top,0.0000
R73,68.0000,41.0000,Top,0.0000
D1,21.4300,15.0000,Top,90.0000
C3,62.0000,48.5000,Top,0.0000
D33,32.0000,107.0000,Top,0.0000
R16,76.0000,23.0000,Top,0.0000
Q7,85.0000,36.6000,Top,270.0000
C18,69.0000,48.5000,Top,0.0000
C17,50.0000,44.0000,Top,0.0000
J5,36.7500,69.1000,Top,0.0000
R71,62.0000,41.0000,Top,0.0000
R62,44.0000,37.5000,Top,0.0000
D4,82.1300,27.7700,Top,315.0000
R85,76.0000,45.0000,Top,0.0000
R23,78.0000,37.0000,Top,0.0000
C12,28.0000,44.0000,Top,0.0000
L1,66.0000,53.5000,Top,0.0000
R21,22.0000,39.0000,Top,0.0000
R17,26.0000,30.0000,Top,0.0000
C8,67.0000,109.0000,Top,180.0000
R18,32.0000,30.0000,Top,0.0000
L2,87.0000,51.0000,Top,90.0000
BZ1,76.0000,62.0000,Top,0.0000
Q4,12.5000,22.4000,Top,45.0000
R14,26.5000,22.0000,Top,180.0000
C4,51.0000,54.0000,Top,0.0000
D3,17.8700,27.7700,Top,45.0000
Q34,84.9500,61.5000,Top,90.0000
D2,78.5700,15.0000,Top,90.0000
Q5,87.5000,22.4000,Top,315.0000
D29,68.0000,61.5000,Top,270.0000
R9,44.0000,47.0000,Top,0.0000
Q18,31.5000,37.5000,Top,90.0000
R19,74.0000,30.0000,Top,0.0000
R13,32.0000,24.5000,Top,0.0000
Q2,30.9500,15.0000,Top,90.0000
C1,23.0000,60.5000,Top,0.0000
R70,56.0000,41.0000,Top,0.0000
C11,38.0000,59.0000,Top,0.0000
R82,26.0000,102.0000,Top,0.0000
U3,50.0000,109.5225,Top,270.0000
R24,76.0000,41.0000,Top,0.0000
Q3,69.0500,15.0000,Top,90.0000
R8,36.5000,47.0000,Top,0.0000
R84,32.0000,102.0000,Top,0.0000
R81,88.0000,65.0000,Top,0.0000
F1,93.0000,61.5000,Top,90.0000
C16,80.5000,49.5000,Top,0.0000
Q17,50.0000,37.5000,Top,0.0000
C14,60.0000,60.0000,Top,0.0000
D5,15.0000,44.2000,Top,90.0000
R1,94.5000,55.5000,Top,0.0000
R20,67.0000,30.0000,Top,0.0000
SW7,15.5000,116.4000,Top,0.0000
C15,75.5000,48.5000,Top,0.0000
D6,85.0000,44.2000,Top,270.0000
C5,72.5000,54.0000,Top,0.0000
R7,28.0000,50.0000,Top,0.0000
SW5,73.0000,116.4000,Top,0.0000
R22,22.0000,44.0000,Top,0.0000
U7,81.0000,54.0000,Top,0.0000
C30,12.5000,57.5000,Top,0.0000
SW2,32.0000,113.0000,Top,0.0000
R10,19.5000,107.0000,Top,270.0000
D30,26.0000,107.0000,Top,0.0000
J10,86.6000,114.0000,Top,0.0000
Q16,37.0000,37.5000,Top,90.0000
SW1,26.0000,113.0000,Top,0.0000
R6,21.0000,50.0000,Top,0.0000
