Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","MagneticBuzzer_CUI_CMT-8504-100-SMT","MagneticBuzzer_CUI_CMT-8504-100-SMT",76.000000,-62.000000,0.000000,top
"C1","10uF/25V","C_1210_3225Metric",23.000000,-60.500000,0.000000,top
"C2","100nF","C_0805_2012Metric",37.000000,-54.000000,0.000000,top
"C3","100nF","C_0805_2012Metric",62.000000,-48.500000,0.000000,top
"C4","10uF/25V","C_1210_3225Metric",51.000000,-54.000000,0.000000,top
"C5","22uF","C_0805_2012Metric",72.500000,-54.000000,0.000000,top
"C8","C_0805_2012Metric","C_0805_2012Metric",67.000000,-109.000000,180.000000,top
"C10","C_0805_2012Metric","C_0805_2012Metric",67.000000,-103.000000,180.000000,top
"C11","10uF/25V","C_1210_3225Metric",38.000000,-59.000000,0.000000,top
"C12","100nF","C_0805_2012Metric",28.000000,-44.000000,0.000000,top
"C14","100nF","C_0805_2012Metric",60.000000,-60.000000,0.000000,top
"C15","100nF","C_0805_2012Metric",75.500000,-48.500000,0.000000,top
"C16","22uF/25V","C_1210_3225Metric",80.500000,-49.500000,0.000000,top
"C17","22uF/25V","C_1210_3225Metric",50.000000,-44.000000,0.000000,top
"C18","10uF/25V","C_1210_3225Metric",69.000000,-48.500000,0.000000,top
"C30","220uF/16V","CP_Elec_6.3x7.7",12.500000,-57.500000,0.000000,top
"D1","LED_D5.0mm_IRGrey","LED_D5.0mm_IRGrey",21.430000,-16.270000,90.000000,top
"D2","LED_D5.0mm_IRGrey","LED_D5.0mm_IRGrey",78.570000,-16.270000,90.000000,top
"D3","LED_D5.0mm_IRGrey","LED_D5.0mm_IRGrey",16.972000,-28.668000,45.000000,top
"D4","LED_D5.0mm_IRGrey","LED_D5.0mm_IRGrey",81.232000,-26.872000,-45.000000,top
"D5","LED_D5.0mm_IRGrey","LED_D5.0mm_IRGrey",15.000000,-45.470000,90.000000,top
"D6","LED_D5.0mm_IRGrey","LED_D5.0mm_IRGrey",85.000000,-42.930000,-90.000000,top
"D29","D_SOD-123","D_SOD-123",68.000000,-61.500000,-90.000000,top
"D30","LED_0603_1608Metric","LED_0603_1608Metric",26.000000,-107.000000,0.000000,top
"D33","LED_0603_1608Metric","LED_0603_1608Metric",32.000000,-107.000000,0.000000,top
"F1","Fuse_1812_4532Metric","Fuse_1812_4532Metric",93.000000,-61.500000,90.000000,top
"J1","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",85.680000,-104.800000,0.000000,top
"J5","JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical","JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical",33.000000,-69.100000,0.000000,top
"J6","JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical","JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical",67.000000,-70.000000,180.000000,top
"J10","AMASS_XT60-M_1x02_P7.20mm_Vertical","AMASS_XT60-M_1x02_P7.20mm_Vertical",83.000000,-114.000000,0.000000,top
"L1","4.7uH","L_Bourns_SRP4020TA",66.000000,-53.500000,0.000000,top
"L2","4.7uH","L_Bourns_SRP4020TA",87.000000,-51.000000,90.000000,top
"Q1","SOT-23","SOT-23",87.500000,-56.000000,0.000000,top
"Q2","LED_D5.0mm_IRBlack","LED_D5.0mm_IRBlack",30.950000,-16.270000,90.000000,top
"Q3","LED_D5.0mm_IRBlack","LED_D5.0mm_IRBlack",69.050000,-16.270000,90.000000,top
"Q4","LED_D5.0mm_IRBlack","LED_D5.0mm_IRBlack",11.602000,-23.298000,45.000000,top
"Q5","LED_D5.0mm_IRBlack","LED_D5.0mm_IRBlack",86.602000,-21.502000,-45.000000,top
"Q6","LED_D5.0mm_IRBlack","LED_D5.0mm_IRBlack",15.000000,-37.870000,90.000000,top
"Q7","LED_D5.0mm_IRBlack","LED_D5.0mm_IRBlack",85.000000,-35.330000,-90.000000,top
"Q16","SOT-23","SOT-23",37.000000,-37.500000,90.000000,top
"Q17","SOT-23","SOT-23",50.000000,-37.500000,0.000000,top
"Q18","SOT-23","SOT-23",31.500000,-37.500000,90.000000,top
"Q34","SOT-23","SOT-23",84.950000,-61.500000,90.000000,top
"R1","R_0805_2012Metric","R_0805_2012Metric",94.500000,-55.500000,0.000000,top
"R6","R_0805_2012Metric","R_0805_2012Metric",21.000000,-50.000000,0.000000,top
"R7","R_0805_2012Metric","R_0805_2012Metric",28.000000,-50.000000,0.000000,top
"R8","R_0805_2012Metric","R_0805_2012Metric",36.500000,-47.000000,0.000000,top
"R9","R_0805_2012Metric","R_0805_2012Metric",44.000000,-47.000000,0.000000,top
"R10","R_0805_2012Metric","R_0805_2012Metric",19.500000,-107.000000,-90.000000,top
"R13","R_0805_2012Metric","R_0805_2012Metric",32.000000,-24.500000,0.000000,top
"R14","R_0805_2012Metric","R_0805_2012Metric",26.500000,-22.000000,180.000000,top
"R15","R_0805_2012Metric","R_0805_2012Metric",70.000000,-23.000000,0.000000,top
"R16","R_0805_2012Metric","R_0805_2012Metric",76.000000,-23.000000,0.000000,top
"R17","R_0805_2012Metric","R_0805_2012Metric",26.000000,-30.000000,0.000000,top
"R18","R_0805_2012Metric","R_0805_2012Metric",32.000000,-30.000000,0.000000,top
"R19","R_0805_2012Metric","R_0805_2012Metric",74.000000,-30.000000,0.000000,top
"R20","R_0805_2012Metric","R_0805_2012Metric",67.000000,-30.000000,0.000000,top
"R21","R_0805_2012Metric","R_0805_2012Metric",22.000000,-39.000000,0.000000,top
"R22","R_0805_2012Metric","R_0805_2012Metric",22.000000,-44.000000,0.000000,top
