Designator,Mid X,Mid Y,Layer,Rotation
U3,50mm,-109.3725mm,Top,270
D33,31.5mm,-111mm,Top,0
D46,63.5mm,-43mm,Top,0
C10,63mm,-105mm,Top,0
R96,15mm,-115.5mm,Top,0
L1,34mm,-95.5mm,Top,0
Q3,67.78mm,-24mm,Top,180
R81,58.5mm,-47mm,Top,270
R93,15mm,-106.5mm,Top,0
R82,26mm,-108mm,Top,0
D44,45.5mm,-43mm,Top,0
J1,88.25mm,-105mm,Top,0
R55,41mm,-47mm,Top,0
D4,74.348mm,-35.548mm,Top,315
U4,37mm,-114mm,Top,90
C14,58mm,-37.5mm,Top,0
D1,21.13mm,-21.6mm,Top,180
BZ1,57.5mm,-31mm,Top,0
U5,70.5mm,-94mm,Top,0
R104,33.5mm,-105mm,Top,0
R1,72.5mm,-111.5mm,Top,0
R94,15mm,-109.5mm,Top,0
C50,71mm,-101.5mm,Top,0
C40,26mm,-111.75mm,Top,0
D29,50mm,-42mm,Top,90
F1,34.5mm,-37.5mm,Top,0
R97,6mm,-107.5mm,Top,0
D5,13.5mm,-44.2mm,Top,90
SW6,6mm,-116mm,Top,0
C30,37mm,-31.5mm,Top,180
D43,36.5mm,-43mm,Top,0
J5,36.25mm,-52.5mm,Top,0
L2,71.75mm,-115.5mm,Top,0
C12,50mm,-46mm,Top,0
C5,59mm,-43.5mm,Top,0
SW7,64mm,-116.5mm,Top,0
U2,47mm,-31mm,Top,270
R98,6mm,-110.5mm,Top,0
C4,65.5mm,-37mm,Top,0
D42,27.5mm,-43mm,Top,0
Q17,50mm,-37.5mm,Top,180
C3,50mm,-48.5mm,Top,0
D48,81.5mm,-43mm,Top,0
D41,18.5mm,-43mm,Top,0
SW2,80.5mm,-94mm,Top,0
J6,63.5mm,-53.5mm,Top,180
R95,15mm,-112.5mm,Top,0
D47,72.5mm,-43mm,Top,0
Q1,35mm,-101mm,Top,180
D3,25.648mm,-35.552mm,Top,45
R92,15mm,-103.5mm,Top,0
Q16,40mm,-37.5mm,Top,180
C11,65.5mm,-33mm,Top,0
R91,15mm,-100.5mm,Top,0
C2,41mm,-44.5mm,Top,0
Q7,85mm,-36.6mm,Top,270
D30,22mm,-107.75mm,Top,0
R103,23mm,-102mm,Top,0
Q18,68mm,-110mm,Top,180
SW1,60.5mm,-92.5mm,Top,0
Q5,79.718mm,-30.178mm,Top,315
D2,74.73mm,-24mm,Top,180
D6,86.5mm,-44.2mm,Top,270
Q34,21.5mm,-111mm,Top,0
C8,66.5mm,-105.75mm,Top,90
C41,38mm,-108mm,Top,0
Q6,15mm,-36.6mm,Top,90
J10,86.6mm,-114.5mm,Top,0
Q2,29.68mm,-24mm,Top,180
Q4,20.278mm,-30.182mm,Top,45
SW5,26mm,-116.5mm,Top,0
R84,32mm,-108mm,Top,0
C1,39.5mm,-25.5mm,Top,0
U1,49.5mm,-93mm,Top,180
D45,54.5mm,-43mm,Top,0
U7,29.5mm,-101mm,Top,180
R18,30mm,-30mm,Bottom,0
R8,38mm,-105mm,Bottom,0
R15,96mm,-101mm,Bottom,0
R9,44mm,-93.5mm,Bottom,0
R6,20mm,-105mm,Bottom,0
R17,26mm,-30mm,Bottom,0
R20,70mm,-30mm,Bottom,0
Q42,27.5mm,-46mm,Bottom,90
R62,44mm,-37.5mm,Bottom,0
Q47,72.5mm,-46mm,Bottom,90
R16,91.5mm,-95mm,Bottom,0
Q48,81.5mm,-46mm,Bottom,90
R23,96mm,-95mm,Bottom,0
R24,96mm,-98mm,Bottom,0
R19,74mm,-30mm,Bottom,0
Q45,54.5mm,-46mm,Bottom,90
R21,4mm,-101mm,Bottom,0
R74,39.5mm,-93mm,Bottom,0
R13,4mm,-98mm,Bottom,0
C16,12.5mm,-31mm,Bottom,0
Q41,18.5mm,-46mm,Bottom,90
R22,8.5mm,-95mm,Bottom,0
R85,77.5mm,-105mm,Bottom,0
R14,4mm,-95mm,Bottom,0
R71,62mm,-41mm,Bottom,0
C15,62mm,-101.5mm,Bottom,0
R64,44mm,-42mm,Bottom,0
R73,54.5mm,-93mm,Bottom,0
C17,62.5mm,-109mm,Bottom,0
Q44,45.5mm,-46mm,Bottom,90
C18,72mm,-105.5mm,Bottom,0
R63,54mm,-37.5mm,Bottom,0
R7,27mm,-105mm,Bottom,0
R70,58mm,-41mm,Bottom,0
Q46,63.5mm,-46mm,Bottom,90
R69,80mm,-102mm,Bottom,0
Q43,36.5mm,-46mm,Bottom,90
