Designator,Comment,Footprint,LCSC Part #,Order MPN,Qty
"D1,D2,D3,D4,D5,D6",IR333-A,LED_D5.0mm_IRGrey,C264290,IR333-A,6
J1,BATT_IN_2S,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012,B2B-XH-A,1
"J5,J6",MOTOR_A_N20_ENCODER,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical,C157984,B6B-ZR(LF)(SN),2
J10,BATT_IN_XT60,AMASS_XT60-M_1x02_P7.20mm_Vertical,C98733,XT60-M,1
"Q2,Q3,Q4,Q5,Q6,Q7",PT334-6B,LED_D5.0mm_IRBlack,C369188,PT334-6B,6
"R1,R62,R63,R64,R69",100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,CFR-25JB-52-100K,5
"R13,R15,R17,R19,R21,R23",47k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,CFR-25JB-52-47K,6
"R14,R16,R18,R20,R22,R24",33,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,CFR-25JB-52-33R,6
R55,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,CFR-25JB-52-10K,1
R81,220,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,CFR-25JB-52-220R,1
R82,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,CFR-25JB-52-1K,1
U3,Seeed XIAO nRF52840 Sense Plus,XIAO-nRF52840-Plus-SMD,,102010694,1
