Designator,X Data,Y Data,Layer,Rotation
U3,50mm,109.3725mm,Top,270
C10,75.1mm,102.3mm,Top,0
L1,33.7mm,95.4mm,Top,0
Q3,70.32mm,21.6mm,Top,0
R1,72.5mm,114.31mm,Top,270
R55,37.13mm,33.26mm,Top,180
R15,59.19mm,21mm,Top,180
J1,88.25mm,105mm,Top,0
D4,74.348mm,35.548mm,Top,315
C14,58mm,37.5mm,Top,0
SW6,11.75mm,116.07mm,Top,0
D1,21.13mm,21.6mm,Top,180
BZ1,57.5mm,31mm,Top,0
R69,80mm,98.19mm,Top,90
SW2,90.1mm,98.8mm,Top,0
D29,50mm,42mm,Top,90
F1,34.5mm,37.5mm,Top,0
D5,13.5mm,44.2mm,Top,90
R13,40.81mm,21mm,Top,0
J5,36.25mm,52.5mm,Top,0
C12,50mm,46mm,Top,0
C5,59mm,43.5mm,Top,0
U2,47mm,31mm,Top,0
C4,65.5mm,37mm,Top,0
Q17,50mm,37.5mm,Top,0
C3,50mm,48.5mm,Top,0
J6,63.5mm,53.5mm,Top,180
Q1,34mm,101.1mm,Top,0
D3,25.648mm,35.552mm,Top,45
Q16,40mm,37.5mm,Top,0
R62,45mm,41.31mm,Top,270
R82,29.81mm,108mm,Top,0
C11,65.5mm,33mm,Top,0
C2,41mm,44.5mm,Top,0
Q7,85mm,36.59mm,Top,270
D30,22mm,107.75mm,Top,0
Q18,68mm,110mm,Top,0
SW1,90.1mm,91.8mm,Top,0
Q5,79.718mm,30.178mm,Top,315
D2,78.87mm,21.6mm,Top,0
D6,86.5mm,44.19mm,Top,270
Q34,21.5mm,111mm,Top,180
C8,66.5mm,105.75mm,Top,90
Q6,15mm,36.6mm,Top,90
J10,86.6mm,114.5mm,Top,0
Q2,29.68mm,21.6mm,Top,180
Q4,20.278mm,30.182mm,Top,45
SW5,26mm,116.5mm,Top,0
R63,54mm,45.31mm,Top,270
C1,39.5mm,25.5mm,Top,0
U1,34mm,114mm,Top,0
R81,63.5mm,44.81mm,Top,270
R24,52.19mm,58mm,Bottom,180
R17,22.81mm,48mm,Bottom,0
R21,18.81mm,53mm,Bottom,0
R19,71.19mm,45mm,Bottom,180
R18,28mm,55.81mm,Bottom,270
R22,35.81mm,58mm,Bottom,0
R14,22.81mm,43mm,Bottom,0
R20,72mm,55.81mm,Bottom,270
R16,79mm,47.81mm,Bottom,270
R23,64.19mm,58mm,Bottom,180
R64,34.19mm,48mm,Bottom,180
