Designator,Mid X,Mid Y,Layer,Rotation
C6,24mm,-63mm,Bottom,180
C11,60mm,-72mm,Bottom,180
C12,68mm,-72mm,Bottom,180
C14,60mm,-60mm,Bottom,180
C19,36mm,-63mm,Bottom,180
LS1,16.6625mm,-19mm,Bottom,90
LS2,26.1875mm,-19mm,Bottom,90
LS3,35.7125mm,-19mm,Bottom,90
LS4,45.2375mm,-19mm,Bottom,90
LS5,54.7625mm,-19mm,Bottom,90
LS6,64.2875mm,-19mm,Bottom,90
LS7,73.8125mm,-19mm,Bottom,90
LS8,83.3375mm,-19mm,Bottom,90
R1,26mm,-54mm,Bottom,180
R2,16mm,-63mm,Bottom,180
R3,20mm,-63mm,Bottom,180
R10,76mm,-104mm,Bottom,180
R12,64.5mm,-108.5mm,Bottom,180
R13,25mm,-3mm,Bottom,180
R14,25mm,-6mm,Bottom,180
R15,75mm,-3mm,Bottom,180
R16,75mm,-6mm,Bottom,180
R17,7.5mm,-19mm,Bottom,180
R18,7.5mm,-22mm,Bottom,180
R19,92.5mm,-19mm,Bottom,180
R20,92.5mm,-22mm,Bottom,180
R21,22mm,-39mm,Bottom,180
R22,22mm,-42mm,Bottom,180
R23,78mm,-39mm,Bottom,180
R24,78mm,-42mm,Bottom,180
R25,16.6625mm,-26.5mm,Bottom,180
R26,20.6625mm,-26.5mm,Bottom,180
R27,26.1875mm,-26.5mm,Bottom,180
R28,26.1875mm,-29mm,Bottom,180
R29,35.7125mm,-26.5mm,Bottom,180
R30,35.7125mm,-29mm,Bottom,180
R31,45.2375mm,-26.5mm,Bottom,180
R32,45.2375mm,-29mm,Bottom,180
R33,54.7625mm,-26.5mm,Bottom,180
R34,54.7625mm,-29mm,Bottom,180
R35,64.2875mm,-26.5mm,Bottom,180
R36,64.2875mm,-29mm,Bottom,180
R37,73.8125mm,-26.5mm,Bottom,180
R38,73.8125mm,-29mm,Bottom,180
R39,83.3375mm,-26.5mm,Bottom,180
R40,79.3375mm,-26.5mm,Bottom,180
R56,60mm,-108.5mm,Bottom,180
R67,43mm,-108mm,Bottom,180
R68,47mm,-108mm,Bottom,180
R69,66mm,-47mm,Bottom,180
R70,76mm,-47mm,Bottom,180
R71,80mm,-47mm,Bottom,180
R73,95mm,-54mm,Bottom,180
R74,95mm,-58mm,Bottom,180
R75,28mm,-63mm,Bottom,180
R76,32mm,-63mm,Bottom,180
U6,54mm,-106mm,Bottom,180
BZ1,52.2mm,-98.5mm,Top,0
C1,32mm,-54mm,Top,0
C2,37mm,-54mm,Top,0
C3,63.5mm,-48.5mm,Top,0
C4,57mm,-50.5mm,Top,0
C5,71mm,-54mm,Top,0
C7,71.5mm,-58.5mm,Top,0
C8,48.4mm,-108.7mm,Top,90
C9,40mm,-60mm,Top,0
C10,50.8mm,-104.8mm,Top,0
C13,16.8mm,-49mm,Top,0
C15,85mm,-50mm,Top,0
C16,92.5mm,-53.5mm,Top,0
C17,92.5mm,-58.5mm,Top,0
C18,76mm,-50mm,Top,0
C20,44mm,-63mm,Top,0
C23,44mm,-56mm,Top,0
C24,44mm,-59.5mm,Top,0
C30,74.5mm,-66mm,Top,0
D1,21.43mm,-16.27mm,Top,90
D2,78.57mm,-16.27mm,Top,90
D3,16.972mm,-30.668mm,Top,45
D4,81.232mm,-28.872mm,Top,-45
D5,15mm,-45.47mm,Top,90
D6,85mm,-42.93mm,Top,-90
D15,23.6mm,-24.5mm,Top,0
D16,26.1875mm,-26.5mm,Top,0
D17,35.7125mm,-26.5mm,Top,0
D18,45.2375mm,-26.5mm,Top,0
D19,54.7625mm,-26.5mm,Top,0
D20,64.2875mm,-26.5mm,Top,0
D21,73.8125mm,-26.5mm,Top,0
D22,76.4mm,-24.5mm,Top,0
D23,21.43mm,-19.6mm,Top,0
D24,78.57mm,-19.6mm,Top,0
D25,8.5mm,-32mm,Top,0
D26,91.5mm,-32mm,Top,0
D27,20.5mm,-46.5mm,Top,0
D28,79.5mm,-46.5mm,Top,0
D29,61.2mm,-97.6mm,Top,90
F1,17.5mm,-58mm,Top,0
J1,5mm,-108.5mm,Top,0
J5,35.5mm,-70mm,Top,0
J6,85.5mm,-64mm,Top,0
