Ref,Val,Package,PosX,PosY,Rot,Side
"C6","100nF","C_0805_2012Metric",24.000000,-63.000000,180.000000,bottom
"C11","10uF/25V","C_1210_3225Metric",60.000000,-72.000000,180.000000,bottom
"C12","100nF","C_0805_2012Metric",68.000000,-72.000000,180.000000,bottom
"C14","100nF","C_0805_2012Metric",60.000000,-60.000000,180.000000,bottom
"C19","100nF","C_0805_2012Metric",36.000000,-63.000000,180.000000,bottom
"LS1","TCRT5000 (reflective sensor, filtered PT; PC817 base symbol so ERC checks pins)","TCRT5000",16.662500,-19.000000,90.000000,bottom
"LS2","TCRT5000 (reflective sensor, filtered PT; PC817 base symbol so ERC checks pins)","TCRT5000",26.187500,-19.000000,90.000000,bottom
"LS3","TCRT5000 (reflective sensor, filtered PT; PC817 base symbol so ERC checks pins)","TCRT5000",35.712500,-19.000000,90.000000,bottom
"LS4","TCRT5000 (reflective sensor, filtered PT; PC817 base symbol so ERC checks pins)","TCRT5000",45.237500,-19.000000,90.000000,bottom
"LS5","TCRT5000 (reflective sensor, filtered PT; PC817 base symbol so ERC checks pins)","TCRT5000",54.762500,-19.000000,90.000000,bottom
"LS6","TCRT5000 (reflective sensor, filtered PT; PC817 base symbol so ERC checks pins)","TCRT5000",64.287499,-19.000000,90.000000,bottom
"LS7","TCRT5000 (reflective sensor, filtered PT; PC817 base symbol so ERC checks pins)","TCRT5000",73.812500,-19.000000,90.000000,bottom
"LS8","TCRT5000 (reflective sensor, filtered PT; PC817 base symbol so ERC checks pins)","TCRT5000",83.337500,-19.000000,90.000000,bottom
"R1","100k","R_0805_2012Metric",26.000000,-54.000000,180.000000,bottom
"R2","100k","R_0805_2012Metric",16.000000,-63.000000,180.000000,bottom
"R3","39k","R_0805_2012Metric",20.000000,-63.000000,180.000000,bottom
"R10","10k","R_0805_2012Metric",76.000000,-104.000000,180.000000,bottom
"R12","5.1k","R_0805_2012Metric",64.500000,-108.500000,180.000000,bottom
"R13","47k","R_0805_2012Metric",25.000000,-3.000000,180.000000,bottom
"R14","33","R_0805_2012Metric",25.000000,-6.000000,180.000000,bottom
"R15","47k","R_0805_2012Metric",75.000000,-3.000000,180.000000,bottom
"R16","33","R_0805_2012Metric",75.000000,-6.000000,180.000000,bottom
"R17","47k","R_0805_2012Metric",7.500000,-19.000000,180.000000,bottom
"R18","33","R_0805_2012Metric",7.500000,-22.000000,180.000000,bottom
"R19","47k","R_0805_2012Metric",92.500000,-19.000000,180.000000,bottom
"R20","33","R_0805_2012Metric",92.500000,-22.000000,180.000000,bottom
"R21","47k","R_0805_2012Metric",22.000000,-39.000000,180.000000,bottom
"R22","33","R_0805_2012Metric",22.000000,-42.000000,180.000000,bottom
"R23","47k","R_0805_2012Metric",78.000000,-39.000000,180.000000,bottom
"R24","33","R_0805_2012Metric",78.000000,-42.000000,180.000000,bottom
"R25","47k","R_0805_2012Metric",16.662500,-26.500000,180.000000,bottom
"R26","120","R_0805_2012Metric",20.662500,-26.500000,180.000000,bottom
"R27","47k","R_0805_2012Metric",26.187500,-26.500000,180.000000,bottom
"R28","120","R_0805_2012Metric",26.187500,-29.000000,180.000000,bottom
"R29","47k","R_0805_2012Metric",35.712500,-26.500000,180.000000,bottom
"R30","120","R_0805_2012Metric",35.712500,-29.000000,180.000000,bottom
"R31","47k","R_0805_2012Metric",45.237500,-26.500000,180.000000,bottom
"R32","120","R_0805_2012Metric",45.237500,-29.000000,180.000000,bottom
"R33","47k","R_0805_2012Metric",54.762500,-26.500000,180.000000,bottom
"R34","120","R_0805_2012Metric",54.762500,-29.000000,180.000000,bottom
"R35","47k","R_0805_2012Metric",64.287499,-26.500000,180.000000,bottom
"R36","120","R_0805_2012Metric",64.287499,-29.000000,180.000000,bottom
"R37","47k","R_0805_2012Metric",73.812500,-26.500000,180.000000,bottom
"R38","120","R_0805_2012Metric",73.812500,-29.000000,180.000000,bottom
"R39","47k","R_0805_2012Metric",83.337500,-26.500000,180.000000,bottom
"R40","120","R_0805_2012Metric",79.337500,-26.500000,180.000000,bottom
"R56","5.1k","R_0805_2012Metric",60.000000,-108.500000,180.000000,bottom
"R67","10k","R_0805_2012Metric",43.000000,-108.000000,180.000000,bottom
"R68","15k","R_0805_2012Metric",47.000000,-108.000000,180.000000,bottom
"R69","100k","R_0805_2012Metric",66.000000,-47.000000,180.000000,bottom
"R70","220k","R_0805_2012Metric",76.000000,-47.000000,180.000000,bottom
"R71","110k","R_0805_2012Metric",80.000000,-47.000000,180.000000,bottom
"R73","100k","R_0805_2012Metric",95.000000,-54.000000,180.000000,bottom
"R74","11k","R_0805_2012Metric",95.000000,-58.000000,180.000000,bottom
"R75","100k","R_0805_2012Metric",28.000000,-63.000000,180.000000,bottom
"R76","100k","R_0805_2012Metric",32.000000,-63.000000,180.000000,bottom
"U6","USBLC6-2SC6 (SOT-23-6; 2P6 base symbol so ERC checks pins)","SOT-23-6",54.000000,-106.000000,180.000000,bottom
