Comment,Designator,Footprint,LCSC Part #
CMT-8504-100-SMT,BZ1,MagneticBuzzer_CUI_CMT-8504-100-SMT,C3811795
10uF/25V,"C1,C4,C11,C18",C_1210_3225Metric,C39232
100nF,"C2,C3,C6,C8,C12,C13,C14,C15,C19,C20,C23",C_0805_2012Metric,C49678
22uF,"C5,C7",C_0805_2012Metric,C45783
1uF,C9,C_0805_2012Metric,C28323
10uF,"C10,C24",C_0805_2012Metric,C15850
22uF/25V,"C16,C17",C_1210_3225Metric,C307586
220uF/16V,C30,CP_Elec_6.3x7.7,C178588
IR333-A,"D1,D2,D3,D4,D5,D6",LED_D5.0mm_IRGrey,C264290
"Indicator LED 0603 super-red AlInGaP, hi","D15,D16,D17,D18,D19,D20,D21,D22",LED_0603_1608Metric,C5875723
"Indicator LED 0603 super-red AlInGaP, hi","D23,D24,D25,D26,D27,D28",LED_0603_1608Metric,C5875723
1N4148W,D29,D_SOD-123,C83528
2.6A/16V PPTC,F1,Fuse_1812_4532Metric,C883162
BATT_IN_2S,J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
MOTOR_A_N20_ENCODER,J5,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical,C157984
MOTOR_B_N20_ENCODER,J6,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical,C157984
USB-C rear,J7,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C3020560
JTAG_1x6,J8,PinHeader_1x06_P2.54mm_Vertical,C124380
BALANCE_2S,J9,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,C144394
BATT_IN_XT60,J10,AMASS_XT60-M_1x02_P7.20mm_Vertical,C98733
4.7uH,"L1,L2",L_Bourns_SRP4020TA,C2041623
TCRT5000,"LS1,LS2,LS3,LS4,LS5,LS6,LS7,LS8",TCRT5000,C2984661
Q_PMOS reverse guard,Q1,SOT-23,C150492
PT334-6B,"Q2,Q3,Q4,Q5,Q6,Q7",LED_D5.0mm_IRBlack,C369188
BSS138,"Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27",SOT-23,C82045
BSS84,"Q28,Q29,Q30,Q31,Q32,Q33",SOT-23,C82079
MMBT2222A,Q34,SOT-23,C94515
100k,"R1,R2,R61,R62,R63,R64,R69,R73,R75,R76",R_0805_2012Metric,C17407
39k,R3,R_0805_2012Metric,C113306
10k,"R6,R7,R8,R9,R10,R11,R55,R65,R67,R79,R80",R_0805_2012Metric,C17414
5.1k,"R12,R56",R_0805_2012Metric,C27834
47k,"R13,R15,R17,R19,R21,R23,R25,R27,R29,R31,R33,R35,R37,R39",R_0805_2012Metric,C17713
33,"R14,R16,R18,R20,R22,R24",R_0805_2012Metric,C17634
120,"R26,R28,R30,R32,R34,R36,R38,R40",R_0805_2012Metric,C17437
1k,"R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R57,R58",R_0805_2012Metric,C17513
15k,R68,R_0805_2012Metric,C17475
220k,R70,R_0805_2012Metric,C17556
110k,R71,R_0805_2012Metric,C17422
11k,R74,R_0805_2012Metric,C17429
4.7k,"R77,R78",R_0805_2012Metric,C17673
220,R81,R_0805_2012Metric,C17557
BTN_A,SW1,SW_PUSH_6mm,C285524
RESET,SW2,SW_PUSH_6mm,C285524
BTN_B,SW3,SW_PUSH_6mm,C285524
BTN_C,SW4,SW_PUSH_6mm,C285524
PWR ALL,SW5,SW_SPDT_PCM12,C221841
PWR MOTORS,SW6,SW_SPDT_PCM12,C221841
AP63203WU-7,U1,TSOT-23-6,C780769
TB6612FNG,U2,SSOP-24_5.3x8.2mm_P0.65mm,C141517
ESP32-S3-WROOM-1-N8R2,U3,ESP32-S3-WROOM-1,C2913204
CD74HC4067M,U4,SOIC-24W_7.5x15.4mm_P1.27mm,C496123
USBLC6-2SC6,U6,SOT-23-6,C7519
TPS54302DDCR,U7,SOT-23-6,C311983
BNO055,U8,BNO055,C93216
