Comment,Designator,Footprint,LCSC Part #,Order MPN,Qty
IR333-A,D1-D6,LED_D5.0mm_IRGrey,C264290,IR333-A,6
BATT_IN_2S,J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012,B2B-XH-A,1
MOTOR_A_N20_ENCODER,J5,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical,C157984,B6B-ZR(LF)(SN),1
MOTOR_B_N20_ENCODER,J6,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical,C157984,B6B-ZR(LF)(SN),1
USB-C rear,J7,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C3020560,USB4105-GF-A,1
JTAG_1x6,J8,PinHeader_1x06_P2.54mm_Vertical,C124380,1x6 2.54mm male header,1
BALANCE_2S,J9,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,C144394,B3B-XH-A(LF)(SN),1
BATT_IN_XT60,J10,AMASS_XT60-M_1x02_P7.20mm_Vertical,C98733,XT60-M,1
TCRT5000,LS1-LS8,TCRT5000,C2984661,TCRT5000,8
PT334-6B,Q2-Q7,LED_D5.0mm_IRBlack,C369188,PT334-6B,6
BTN_A,SW1,SW_PUSH_6mm,C285524,PTS645VL582LFS,1
RESET,SW2,SW_PUSH_6mm,C285524,PTS645VL582LFS,1
BTN_B,SW3,SW_PUSH_6mm,C285524,PTS645VL582LFS,1
BTN_C,SW4,SW_PUSH_6mm,C285524,PTS645VL582LFS,1
