Designator,Mid X,Mid Y,Layer,Rotation
C6,24.000000mm,-63.000000mm,Bottom,180.000000
C11,60.000000mm,-72.000000mm,Bottom,180.000000
C12,68.000000mm,-72.000000mm,Bottom,180.000000
C14,60.000000mm,-60.000000mm,Bottom,180.000000
C19,36.000000mm,-63.000000mm,Bottom,180.000000
LS1,16.662500mm,-19.000000mm,Bottom,90.000000
LS2,26.187500mm,-19.000000mm,Bottom,90.000000
LS3,35.712500mm,-19.000000mm,Bottom,90.000000
LS4,45.237500mm,-19.000000mm,Bottom,90.000000
LS5,54.762500mm,-19.000000mm,Bottom,90.000000
LS6,64.287499mm,-19.000000mm,Bottom,90.000000
LS7,73.812500mm,-19.000000mm,Bottom,90.000000
LS8,83.337500mm,-19.000000mm,Bottom,90.000000
R1,26.000000mm,-54.000000mm,Bottom,180.000000
R2,16.000000mm,-63.000000mm,Bottom,180.000000
R3,20.000000mm,-63.000000mm,Bottom,180.000000
R10,76.000000mm,-104.000000mm,Bottom,180.000000
R12,64.500000mm,-108.500000mm,Bottom,180.000000
R13,25.000000mm,-3.000000mm,Bottom,180.000000
R14,25.000000mm,-6.000000mm,Bottom,180.000000
R15,75.000000mm,-3.000000mm,Bottom,180.000000
R16,75.000000mm,-6.000000mm,Bottom,180.000000
R17,7.500000mm,-19.000000mm,Bottom,180.000000
R18,7.500000mm,-22.000000mm,Bottom,180.000000
R19,92.500000mm,-19.000000mm,Bottom,180.000000
R20,92.500000mm,-22.000000mm,Bottom,180.000000
R21,22.000000mm,-39.000000mm,Bottom,180.000000
R22,22.000000mm,-42.000000mm,Bottom,180.000000
R23,78.000000mm,-39.000000mm,Bottom,180.000000
R24,78.000000mm,-42.000000mm,Bottom,180.000000
R25,16.662500mm,-26.500000mm,Bottom,180.000000
R26,20.662500mm,-26.500000mm,Bottom,180.000000
R27,26.187500mm,-26.500000mm,Bottom,180.000000
R28,26.187500mm,-29.000000mm,Bottom,180.000000
R29,35.712500mm,-26.500000mm,Bottom,180.000000
R30,35.712500mm,-29.000000mm,Bottom,180.000000
R31,45.237500mm,-26.500000mm,Bottom,180.000000
R32,45.237500mm,-29.000000mm,Bottom,180.000000
R33,54.762500mm,-26.500000mm,Bottom,180.000000
R34,54.762500mm,-29.000000mm,Bottom,180.000000
R35,64.287499mm,-26.500000mm,Bottom,180.000000
R36,64.287499mm,-29.000000mm,Bottom,180.000000
R37,73.812500mm,-26.500000mm,Bottom,180.000000
R38,73.812500mm,-29.000000mm,Bottom,180.000000
R39,83.337500mm,-26.500000mm,Bottom,180.000000
R40,79.337500mm,-26.500000mm,Bottom,180.000000
R56,60.000000mm,-108.500000mm,Bottom,180.000000
R67,43.000000mm,-108.000000mm,Bottom,180.000000
R68,47.000000mm,-108.000000mm,Bottom,180.000000
R69,66.000000mm,-47.000000mm,Bottom,180.000000
R70,76.000000mm,-47.000000mm,Bottom,180.000000
R71,80.000000mm,-47.000000mm,Bottom,180.000000
R73,95.000000mm,-54.000000mm,Bottom,180.000000
R74,95.000000mm,-58.000000mm,Bottom,180.000000
R75,28.000000mm,-63.000000mm,Bottom,180.000000
R76,32.000000mm,-63.000000mm,Bottom,180.000000
U6,54.000000mm,-106.000000mm,Bottom,180.000000
BZ1,52.200000mm,-98.500000mm,Top,0.000000
C1,32.000000mm,-54.000000mm,Top,0.000000
C2,37.000000mm,-54.000000mm,Top,0.000000
C3,63.500000mm,-48.500000mm,Top,0.000000
C4,57.000000mm,-50.500000mm,Top,0.000000
C5,71.000000mm,-54.000000mm,Top,0.000000
C7,71.500000mm,-58.500000mm,Top,0.000000
C8,48.400000mm,-108.700000mm,Top,90.000000
C9,40.000000mm,-60.000000mm,Top,0.000000
C10,50.800000mm,-104.800000mm,Top,0.000000
C13,16.800000mm,-49.000000mm,Top,0.000000
C15,85.000000mm,-50.000000mm,Top,0.000000
C16,92.500000mm,-53.500000mm,Top,0.000000
C17,92.500000mm,-58.500000mm,Top,0.000000
C18,76.000000mm,-50.000000mm,Top,0.000000
C20,44.000000mm,-63.000000mm,Top,0.000000
C23,44.000000mm,-56.000000mm,Top,0.000000
C24,44.000000mm,-59.500000mm,Top,0.000000
C30,74.500000mm,-66.000000mm,Top,0.000000
D1,21.430000mm,-16.270000mm,Top,90.000000
D2,78.570000mm,-16.270000mm,Top,90.000000
D3,16.971974mm,-30.668025mm,Top,45.000000
D4,81.231974mm,-28.871974mm,Top,-45.000000
D5,15.000000mm,-45.470000mm,Top,90.000000
D6,85.000000mm,-42.930000mm,Top,-90.000000
D15,23.600000mm,-24.500000mm,Top,0.000000
D16,26.187500mm,-26.500000mm,Top,0.000000
D17,35.712500mm,-26.500000mm,Top,0.000000
D18,45.237500mm,-26.500000mm,Top,0.000000
D19,54.762500mm,-26.500000mm,Top,0.000000
D20,64.287499mm,-26.500000mm,Top,0.000000
D21,73.812500mm,-26.500000mm,Top,0.000000
D22,76.400000mm,-24.500000mm,Top,0.000000
D23,21.430000mm,-19.600000mm,Top,0.000000
D24,78.570000mm,-19.600000mm,Top,0.000000
D25,8.500000mm,-32.000000mm,Top,0.000000
D26,91.500000mm,-32.000000mm,Top,0.000000
D27,20.500000mm,-46.500000mm,Top,0.000000
D28,79.500000mm,-46.500000mm,Top,0.000000
D29,61.200000mm,-97.600000mm,Top,90.000000
F1,17.500000mm,-58.000000mm,Top,0.000000
J1,5.000000mm,-108.500000mm,Top,0.000000
J5,35.500000mm,-70.000000mm,Top,0.000000
J6,85.500000mm,-64.000000mm,Top,0.000000
J7,54.000000mm,-117.175001mm,Top,0.000000
J8,10.500000mm,-102.000000mm,Top,90.000000
J9,15.500000mm,-108.500000mm,Top,0.000000
J10,85.680000mm,-104.800000mm,Top,0.000000
L1,66.000000mm,-53.500000mm,Top,0.000000
L2,86.500000mm,-57.500000mm,Top,0.000000
Q1,26.000000mm,-54.000000mm,Top,0.000000
Q2,30.950000mm,-16.270000mm,Top,90.000000
Q3,69.050000mm,-16.270000mm,Top,90.000000
Q4,13.400000mm,-25.300000mm,Top,135.000000
Q5,86.600000mm,-25.300000mm,Top,45.000000
Q6,15.000000mm,-37.870000mm,Top,90.000000
Q7,85.000000mm,-35.330000mm,Top,-90.000000
Q16,40.000000mm,-37.500000mm,Top,0.000000
Q17,50.000000mm,-37.500000mm,Top,0.000000
Q18,40.000000mm,-42.000000mm,Top,0.000000
Q19,50.000000mm,-42.000000mm,Top,0.000000
Q20,23.500000mm,-38.500000mm,Top,0.000000
Q21,26.187500mm,-33.500000mm,Top,0.000000
Q22,35.712500mm,-33.500000mm,Top,0.000000
Q23,45.237500mm,-33.500000mm,Top,0.000000
Q24,54.762500mm,-33.500000mm,Top,0.000000
Q25,64.287499mm,-33.500000mm,Top,0.000000
Q26,73.812500mm,-33.500000mm,Top,0.000000
Q27,76.500000mm,-38.500000mm,Top,0.000000
Q28,25.000000mm,-43.000000mm,Top,0.000000
Q29,75.000000mm,-43.000000mm,Top,0.000000
Q30,30.000000mm,-43.000000mm,Top,0.000000
Q31,70.000000mm,-43.000000mm,Top,0.000000
Q32,35.000000mm,-43.000000mm,Top,0.000000
Q33,65.000000mm,-43.000000mm,Top,0.000000
Q34,59.500000mm,-102.300000mm,Top,180.000000
R6,22.000000mm,-66.000000mm,Top,0.000000
R7,28.000000mm,-66.000000mm,Top,0.000000
R8,40.000000mm,-47.000000mm,Top,0.000000
R9,44.000000mm,-47.000000mm,Top,0.000000
R11,34.000000mm,-60.000000mm,Top,0.000000
R41,23.600000mm,-28.000000mm,Top,90.000000
R42,26.187500mm,-30.000000mm,Top,0.000000
R43,35.712500mm,-30.000000mm,Top,0.000000
R44,45.237500mm,-30.000000mm,Top,0.000000
